	index_x	Protein1	Protein2	Score_x	Description1_x	Description2_x	Protein_1_clusters_x	Protein_2_clusters_x	Any Matching Go-Terms?_x	Train/Val/Test_x	Experimental P. Falciparum_x	P. Falciparum_x	P. Knowlesi_x	P. Berghei_x	P. Vivax_x	P. Yoelii_x	C. parvum_x	B. bovis_x	index_y	Score_y	Description1_y	Description2_y	Protein_1_clusters_y	Protein_2_clusters_y	Any Matching Go-Terms?_y	Train/Val/Test_y	Experimental P. Falciparum_y	P. Falciparum_y	P. Knowlesi_y	P. Berghei_y	P. Vivax_y	P. Yoelii_y	C. parvum_y	B. bovis_y	spearman_erythrocyte	7_stages	intraerythrocyte_cycle	blood_stages	Spearman_all	Pearson_all
13	159	A0A5K1K7U1	Q8IAR3	0.7904582031071186	Proteasome subunit beta	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	159	0.7904582031071186	Proteasome subunit beta	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.21428571428571433	0.9761904761904763	0.7500000000000002	0.9418719211822657	0.9127026078748325
14	213	A0A5K1K7U1	Q8IBI3	0.8615920066833496	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	213	0.8615920066833496	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	-0.14285714285714288	1.0	0.8214285714285715	0.9123152709359604	0.873681896906248
15	11	A0A5K1K7U1	Q8IDG2	0.711460018157959	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	11	0.711460018157959	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.8928571428571429	0.9761904761904763	0.7857142857142859	0.9576354679802953	0.9688932724551882
16	127	A0A5K1K7U1	Q8IDG3	0.6616768673062324	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	127	0.6616768673062324	Proteasome subunit beta	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	0.5357142857142858	0.9761904761904763	0.8571428571428573	0.9394088669950736	0.8947203694527092
17	165	A0A5K1K7U1	Q8IJT1	0.573606901243329	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	165	0.573606901243329	Proteasome subunit beta	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.6071428571428572	1.0	0.7500000000000002	0.939901477832512	0.972050603847136
18	36	A0A5K1K7U1	Q8IK90	0.5712116062641144	Proteasome subunit beta	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	36	0.5712116062641144	Proteasome subunit beta	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	0.9523809523809524	0.28571428571428575	1.0	0.7500000000000002	0.9009852216748767	0.9214455693507246
19	95	A0A5K1K7X4	Q8IIF0	0.588723782543093	Early transcribed membrane protein 5	Exported protein 1	[26]	[26]	0	0	0	0	0	0	0	0	0	0	95	0.588723782543093	Early transcribed membrane protein 5	Exported protein 1	[26]	[26]	0	0	0	0	0	0	0	0	0	0	0.4761904761904762	0.8928571428571429	0.3333333333333334	0.8571428571428573	0.8059113300492609	0.758192606647672
20	279	A0A5K1K8H7	Q76NM4	0.9539113640785216	Ras-related protein Rab-1B	Ras-related protein Rab-11A	[17]	[17]	1	0	0	1	1	1	1	1	1	1	279	0.9539113640785216	Ras-related protein Rab-1B	Ras-related protein Rab-11A	[17]	[17]	1	0	0	1	1	1	1	1	1	1	-0.523809523809524	0.9285714285714288	-0.8095238095238096	0.5357142857142858	0.6315270935960591	0.4773786655570321
21	525	A0A5K1K8H7	Q8I3W9	0.8266167223453522	Ras-related protein Rab-1B	Ras-related protein Rab-1A	[17]	[17]	1	0	0	0	0	0	0	0	0	0	525	0.8266167223453522	Ras-related protein Rab-1B	Ras-related protein Rab-1A	[17]	[17]	1	0	0	0	0	0	0	0	0	0	0.5714285714285715	0.9642857142857145	0.6428571428571429	0.642857142857143	0.6088669950738915	0.7869143682836657
22	76	A0A5K1K8H7	Q8IHR8	0.8407130837440491	Ras-related protein Rab-1B	Ras-related protein Rab-6	[17]	[17]	1	0	0	1	0	1	1	1	1	1	76	0.8407130837440491	Ras-related protein Rab-1B	Ras-related protein Rab-6	[17]	[17]	1	0	0	1	0	1	1	1	1	1	0.7380952380952381	0.7857142857142859	0.8095238095238096	0.642857142857143	0.8763546798029554	0.8089282258043723
23	423	A0A5K1K8W5	Q8IDN0	0.6440545871853829	Secreted ookinete protein, putative	Female gametocyte surface protein P47	[29]	[29]	0	0	0	0	0	0	0	0	0	0	423	0.6440545871853829	Secreted ookinete protein, putative	Female gametocyte surface protein P47	[29]	[29]	0	0	0	0	0	0	0	0	0	0	0.6428571428571429	0.9642857142857145	0.023809523809523815	0.3571428571428572	0.5900185962833734	0.8277446415379559
24	445	C0H4D2	C6KSV0	0.6021961893886327	Longevity-assurance (LAG1) protein, putative	Histone H3	[23]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	445	0.6021961893886327	Longevity-assurance (LAG1) protein, putative	Histone H3	[23]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	0.8571428571428572	0.39285714285714296	0.9761904761904763	0.9642857142857145	0.7039408866995073	0.4186810317803309
25	314	C0H4D2	Q8IM57	0.7810456797480583	Longevity-assurance (LAG1) protein, putative	Translocation associated membrane protein, putative	[23]	[23]	1	0	0	1	0	0	1	0	0	0	314	0.7810456797480583	Longevity-assurance (LAG1) protein, putative	Translocation associated membrane protein, putative	[23]	[23]	1	0	0	1	0	0	1	0	0	0	0.8571428571428572	0.9285714285714288	0.9047619047619048	0.8214285714285715	0.7709359605911329	0.7260562176411139
26	306	C0H4V6	K7NTP5	0.7061116635799408	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 2, 14, 18, 24]	0	0	0	1	0	0	0	0	0	0	306	0.7061116635799408	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 2, 14, 18, 24]	0	0	0	1	0	0	0	0	0	0	-0.523809523809524	0.39285714285714296	-0.6190476190476191	-0.3214285714285715	0.24088669950738908	0.0795086502315326
27	329	C0H4V6	O97247	0.9517114877700804	14-3-3 protein I	CCT-beta	[10, 20]	[2, 18]	0	0	0	0	0	0	0	0	0	0	329	0.9517114877700804	14-3-3 protein I	CCT-beta	[10, 20]	[2, 18]	0	0	0	0	0	0	0	0	0	0	0.19047619047619052	0.07142857142857144	0.2380952380952381	0.07142857142857144	0.3039408866995073	0.2645320268046465
28	425	C0H4V6	O97285	0.5376930743455887	14-3-3 protein I	ATP-dependent RNA helicase DDX6	[10, 20]	[0, 2, 18, 24]	0	0	0	0	0	0	0	0	0	0	425	0.5376930743455887	14-3-3 protein I	ATP-dependent RNA helicase DDX6	[10, 20]	[0, 2, 18, 24]	0	0	0	0	0	0	0	0	0	0	0.8571428571428572	-0.10714285714285716	0.7619047619047621	0.6785714285714287	0.3576354679802955	0.4643347404610627
29	30	C0H4V6	P61074	0.7440528869628906	14-3-3 protein I	Proliferating cell nuclear antigen 1	[10, 20]	[9, 20, 21]	0	0	0	0	0	0	0	0	0	0	30	0.7440528869628906	14-3-3 protein I	Proliferating cell nuclear antigen 1	[10, 20]	[9, 20, 21]	0	0	0	0	0	0	0	0	0	0	0.8095238095238096	0.3214285714285715	0.7857142857142858	0.4642857142857144	0.5704433497536944	0.6250532720707339
30	495	C0H4V6	Q76NN6	0.5402900248765945	14-3-3 protein I	Ran-specific GTPase-activating protein 1, putative	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	1	1	495	0.5402900248765945	14-3-3 protein I	Ran-specific GTPase-activating protein 1, putative	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	1	1	-0.19047619047619052	0.25	0.2142857142857143	0.28571428571428575	0.3458128078817733	0.22807894301206233
31	12	C0H4V6	Q7KQL9	0.6281091019511222	14-3-3 protein I	Fructose-bisphosphate aldolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	12	0.6281091019511222	14-3-3 protein I	Fructose-bisphosphate aldolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	0.14285714285714288	0.5357142857142858	-0.14285714285714288	0.7857142857142859	0.6684729064039406	0.5370743805178504
32	35	C0H4V6	Q8I0V4	0.7704584468156099	14-3-3 protein I	Endoplasmin, putative	[10, 20]	[10]	1	0	0	1	1	1	1	1	1	1	35	0.7704584468156099	14-3-3 protein I	Endoplasmin, putative	[10, 20]	[10]	1	0	0	1	1	1	1	1	1	1	0.7380952380952381	0.07142857142857144	0.9047619047619048	0.6785714285714287	0.4689655172413792	0.43225931706554516
33	199	C0H4V6	Q8I2H3	0.5296934336423874	14-3-3 protein I	V-type proton ATPase subunit E, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	199	0.5296934336423874	14-3-3 protein I	V-type proton ATPase subunit E, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	0.3333333333333334	-0.03571428571428572	-0.8571428571428572	0.28571428571428575	0.13004926108374382	-0.14770826187616393
34	187	C0H4V6	Q8I608	0.7674408823251724	14-3-3 protein I	Nucleosome assembly protein	[10, 20]	[3, 14, 20, 21]	1	0	0	0	0	0	0	0	0	0	187	0.7674408823251724	14-3-3 protein I	Nucleosome assembly protein	[10, 20]	[3, 14, 20, 21]	1	0	0	0	0	0	0	0	0	0	-0.5714285714285715	0.25	-0.8333333333333335	0.3214285714285715	0.39064039408866985	0.3143213844003582
35	110	C0H4V6	Q8IB24	0.5789141654968262	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 10, 14, 24]	0	0	0	1	1	1	1	0	1	1	110	0.5789141654968262	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 10, 14, 24]	0	0	0	1	1	1	1	0	1	1	0.19047619047619052	0.42857142857142866	0.11904761904761905	0.3214285714285715	0.5103448275862068	0.3955314649366063
36	394	C0H4V6	Q8IBV7	0.7297577183693648	14-3-3 protein I	Histone H2B	[10, 20]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	394	0.7297577183693648	14-3-3 protein I	Histone H2B	[10, 20]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	0.2380952380952381	0.8571428571428573	0.19047619047619052	0.10714285714285716	0.7246305418719211	0.6039615846625048
37	207	C0H4V6	Q8IC05	0.7994705259799957	14-3-3 protein I	Heat shock protein 90	[10, 20]	[10]	1	1	0	1	0	1	1	1	1	1	207	0.7994705259799957	14-3-3 protein I	Heat shock protein 90	[10, 20]	[10]	1	1	0	1	0	1	1	1	1	1	0.19047619047619052	0.14285714285714288	0.2380952380952381	0.6785714285714287	0.3763546798029556	0.23144427518845365
38	111	C0H4V6	Q8IE84	0.564981932938099	14-3-3 protein I	V-type proton ATPase subunit G, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	111	0.564981932938099	14-3-3 protein I	V-type proton ATPase subunit G, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	0.3571428571428572	-0.9285714285714288	0.5714285714285715	-0.25	0.7300492610837437	0.7470241157619186
39	461	C0H4V6	Q8IFP3	0.9801848649978636	14-3-3 protein I	Tubulin alpha chain	[10, 20]	[2, 18]	0	0	0	0	0	0	0	1	1	0	461	0.9801848649978636	14-3-3 protein I	Tubulin alpha chain	[10, 20]	[2, 18]	0	0	0	0	0	0	0	1	1	0	0.4285714285714286	-0.21428571428571433	-0.09523809523809526	-0.21428571428571433	-0.05221674876847289	-0.15727371312730432
40	100	C0H4V6	Q8II24	0.6270820915699005	14-3-3 protein I	Heat shock protein 70	[10, 20]	[4, 10, 16]	0	0	0	1	1	0	0	0	0	1	100	0.6270820915699005	14-3-3 protein I	Heat shock protein 70	[10, 20]	[4, 10, 16]	0	0	0	1	1	0	0	0	0	1	0.261904761904762	0.10714285714285716	0.3333333333333334	0.28571428571428575	0.3068965517241379	0.33531630682471286
41	310	C0H4V6	Q8II61	0.6745435714721679	14-3-3 protein I	60S acidic ribosomal protein P0	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	0	0	310	0.6745435714721679	14-3-3 protein I	60S acidic ribosomal protein P0	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	0	0	-0.3333333333333334	0.39285714285714296	-0.11904761904761905	0.3214285714285715	0.6261083743842363	0.43776870469811496
42	53	C0H4V6	Q8IJN7	0.8181600928306579	14-3-3 protein I	Enolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	53	0.8181600928306579	14-3-3 protein I	Enolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	0.261904761904762	0.42857142857142866	0.11904761904761905	0.1785714285714286	0.5433497536945812	0.4608756844065601
43	248	C0H4V6	Q8IKF0	0.5136159935966134	14-3-3 protein I	RNA helicase	[10, 20]	[0, 2, 10, 18, 24]	0	0	0	0	0	0	0	0	0	0	248	0.5136159935966134	14-3-3 protein I	RNA helicase	[10, 20]	[0, 2, 10, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.04761904761904763	0.39285714285714296	-0.38095238095238104	0.4642857142857144	0.46403940886699496	0.31200304608336554
44	547	C0H4V6	Q8ILB6	0.526628191024065	14-3-3 protein I	Mitochondrial acidic protein MAM33, putative	[10, 20]	[3, 9, 20, 21]	0	1	0	0	0	0	0	0	0	0	547	0.526628191024065	14-3-3 protein I	Mitochondrial acidic protein MAM33, putative	[10, 20]	[3, 9, 20, 21]	0	1	0	0	0	0	0	0	0	0	0.6666666666666669	-0.07142857142857144	0.523809523809524	0.42857142857142866	0.5133004926108373	0.4283701817949904
45	138	C0H4V6	Q8IM55	0.5232290174812079	14-3-3 protein I	Serine/threonine protein phosphatase CPPED1, putative	[10, 20]	[3, 20]	0	0	0	0	0	0	0	0	0	0	138	0.5232290174812079	14-3-3 protein I	Serine/threonine protein phosphatase CPPED1, putative	[10, 20]	[3, 20]	0	0	0	0	0	0	0	0	0	0	0.4285714285714286	-0.7142857142857144	0.3333333333333334	0.25	0.4226600985221674	0.17992272535484766
46	156	C0H4Y6	Q76NN6	0.5336467124521732	Protein disulfide-isomerase	Ran-specific GTPase-activating protein 1, putative	[22]	[3, 20, 21]	0	0	0	1	1	1	1	1	1	1	156	0.5336467124521732	Protein disulfide-isomerase	Ran-specific GTPase-activating protein 1, putative	[22]	[3, 20, 21]	0	0	0	1	1	1	1	1	1	1	-0.14285714285714288	0.8214285714285715	0.30952380952380953	-0.28571428571428575	0.6788177339901476	0.6505549998774264
47	60	C0H4Y6	Q8I2V9	0.8764208555221558	Protein disulfide-isomerase	Protein disulfide isomerase	[22]	[22]	1	0	0	1	0	0	0	0	0	0	60	0.8764208555221558	Protein disulfide-isomerase	Protein disulfide isomerase	[22]	[22]	1	0	0	1	0	0	0	0	0	0	0.4047619047619048	0.28571428571428575	0.523809523809524	0.4642857142857144	0.33300492610837434	0.6448081970104749
48	132	C0H571	O77310	0.9985048413276671	High molecular weight rhoptry protein 2	Cytoadherence linked asexual protein 3.1	[7]	[7]	1	1	1	1	0	0	0	0	0	0	132	0.9985048413276671	High molecular weight rhoptry protein 2	Cytoadherence linked asexual protein 3.1	[7]	[7]	1	1	1	1	0	0	0	0	0	0	0.9523809523809524	0.7500000000000002	0.880952380952381	1.0	0.8866995073891623	0.9346643555713683
49	144	C0H571	Q8I395	0.7863685712218285	High molecular weight rhoptry protein 2	High molecular weight rhoptry protein 3	[7]	[7]	1	1	1	1	1	1	0	0	0	0	144	0.7863685712218285	High molecular weight rhoptry protein 2	High molecular weight rhoptry protein 3	[7]	[7]	1	1	1	1	1	1	0	0	0	0	0.9523809523809524	0.8928571428571429	0.9761904761904763	1.0	0.927093596059113	0.9939632988902573
50	413	C0H571	Q8IAV1	0.5968037880957127	High molecular weight rhoptry protein 2	Uncharacterized protein	[7]	[7]	0	0	0	0	0	0	0	0	0	0	413	0.5968037880957127	High molecular weight rhoptry protein 2	Uncharacterized protein	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.6428571428571429	0.7142857142857144	0.7380952380952381	0.9642857142857145	0.640886699507389	0.9590807165791219
51	153	C0H571	Q8IBN4	0.8555385708808899	High molecular weight rhoptry protein 2	Secreted ookinete protein, putative	[7]	[7]	0	0	0	0	0	0	0	0	0	0	153	0.8555385708808899	High molecular weight rhoptry protein 2	Secreted ookinete protein, putative	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.0	0.28571428571428575	-0.11904761904761905	-0.30631873731649006	-0.08965517241379309	-0.14048118778360982
52	249	C0H571	Q8IEU2	0.9273954510688782	High molecular weight rhoptry protein 2	Gamete antigen 27/25	[7]	[7]	0	0	0	0	0	0	0	0	0	0	249	0.9273954510688782	High molecular weight rhoptry protein 2	Gamete antigen 27/25	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.7142857142857144	-0.42857142857142866	0.7380952380952381	0.8928571428571429	0.13940886699507385	0.07462861015050021
53	24	C0H571	Q8IKC8	0.7945791855454445	High molecular weight rhoptry protein 2	Exported protein 2	[7]	[7]	0	0	0	0	0	0	0	0	0	0	24	0.7945791855454445	High molecular weight rhoptry protein 2	Exported protein 2	[7]	[7]	0	0	0	0	0	0	0	0	0	0	-0.4761904761904762	-0.21428571428571433	-0.523809523809524	-0.7500000000000002	-0.14975369458128074	-0.18240430952302042
54	236	C0H571	Q8ILZ1	0.565418416261673	High molecular weight rhoptry protein 2	Rhoptry-associated protein 1	[7]	[7]	1	0	0	0	0	0	0	0	0	0	236	0.565418416261673	High molecular weight rhoptry protein 2	Rhoptry-associated protein 1	[7]	[7]	1	0	0	0	0	0	0	0	0	0	0.8095238095238096	0.8214285714285715	0.9523809523809524	1.0	0.8743842364532017	0.9733574427676801
55	92	C0H5H0	O97227	0.9116176843643188	Endoplasmic reticulum chaperone GRP170	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	[6, 16]	[6, 9, 16, 28]	0	0	0	0	0	0	0	0	0	0	92	0.9116176843643188	Endoplasmic reticulum chaperone GRP170	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	[6, 16]	[6, 9, 16, 28]	0	0	0	0	0	0	0	0	0	0	-0.19047619047619052	0.03571428571428572	-0.4761904761904762	-0.642857142857143	0.38571428571428557	0.42122386774770604
56	17	C0H5H0	Q8I0U7	0.6139167175628245	Endoplasmic reticulum chaperone GRP170	Proteasome subunit beta type-6, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	17	0.6139167175628245	Endoplasmic reticulum chaperone GRP170	Proteasome subunit beta type-6, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.4761904761904762	0.3214285714285715	0.2380952380952381	-0.4642857142857144	0.6916256157635466	0.579507116473701
57	431	C0H5H0	Q8IBI3	0.722867465019226	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	431	0.722867465019226	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.4285714285714286	0.8214285714285715	0.2380952380952381	-0.4642857142857144	0.5610837438423644	0.39304670520779006
58	369	C0H5H0	Q8IC01	0.6074600905179978	Endoplasmic reticulum chaperone GRP170	Heat shock protein 110	[6, 16]	[1, 6, 16, 28]	1	0	0	0	0	0	0	0	0	0	369	0.6074600905179978	Endoplasmic reticulum chaperone GRP170	Heat shock protein 110	[6, 16]	[1, 6, 16, 28]	1	0	0	0	0	0	0	0	0	0	-0.07142857142857144	0.8571428571428573	-0.07142857142857144	0.1785714285714286	0.73743842364532	0.5675920507026148
59	337	C0H5H0	Q8II36	0.5525138005614281	Endoplasmic reticulum chaperone GRP170	Aquaglyceroporin	[6, 16]	[6, 16, 28]	0	0	0	0	0	0	0	0	0	0	337	0.5525138005614281	Endoplasmic reticulum chaperone GRP170	Aquaglyceroporin	[6, 16]	[6, 16, 28]	0	0	0	0	0	0	0	0	0	0	-0.1666666666666667	-0.3571428571428572	-0.4047619047619048	-0.5	0.4004926108374383	0.406565179551714
60	196	C0H5H0	Q8IJN9	0.9519560933113098	Endoplasmic reticulum chaperone GRP170	Heat shock protein 60	[6, 16]	[1, 6, 16]	1	0	0	1	1	1	1	1	1	1	196	0.9519560933113098	Endoplasmic reticulum chaperone GRP170	Heat shock protein 60	[6, 16]	[1, 6, 16]	1	0	0	1	1	1	1	1	1	1	-0.19047619047619052	0.6785714285714287	-0.30952380952380953	-0.7857142857142859	0.31379310344827577	0.10082579504924535
61	277	C0H5H0	Q8IK90	0.5740393459796905	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type-1, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	277	0.5740393459796905	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type-1, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.523809523809524	0.7857142857142859	0.2380952380952381	-0.4642857142857144	0.8266009852216747	0.7618027799122613
