	index	Protein1	Protein2	Score	Description1	Description2	Protein_1_clusters	Protein_2_clusters	Any Matching Go-Terms?	Train/Val/Test	Experimental P. Falciparum	P. Falciparum	P. Knowlesi	P. Berghei	P. Vivax	P. Yoelii	C. parvum	B. bovis	spearman_erythrocyte	Spearman_all	Pearson_all
20	279	A0A5K1K8H7	Q76NM4	0.9539113640785216	Ras-related protein Rab-1B	Ras-related protein Rab-11A	[17]	[17]	1	0	0	1	1	1	1	1	1	1	-0.523809523809524	0.3092885375494071	0.9097028386898323
21	525	A0A5K1K8H7	Q8I3W9	0.8266167223453522	Ras-related protein Rab-1B	Ras-related protein Rab-1A	[17]	[17]	1	0	0	0	0	0	0	0	0	0	0.5714285714285715	0.6521739130434783	0.9705163361896432
22	76	A0A5K1K8H7	Q8IHR8	0.8407130837440491	Ras-related protein Rab-1B	Ras-related protein Rab-6	[17]	[17]	1	0	0	1	0	1	1	1	1	1	0.7380952380952381	0.5800395256916997	0.9613439630847904
23	423	A0A5K1K8W5	Q8IDN0	0.6440545871853829	Secreted ookinete protein, putative	Female gametocyte surface protein P47	[29]	[29]	0	0	0	0	0	0	0	0	0	0	0.6428571428571429	0.8932806324110673	0.7506770764658935
24	445	C0H4D2	C6KSV0	0.6021961893886327	Longevity-assurance (LAG1) protein, putative	Histone H3	[23]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	0.8571428571428572	0.7994071146245059	0.968492061537403
25	314	C0H4D2	Q8IM57	0.7810456797480583	Longevity-assurance (LAG1) protein, putative	Translocation associated membrane protein, putative	[23]	[23]	1	0	0	1	0	0	1	0	0	0	0.8571428571428572	0.9071146245059288	0.880451832867835
26	306	C0H4V6	K7NTP5	0.7061116635799408	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 2, 14, 18, 24]	0	0	0	1	0	0	0	0	0	0	-0.523809523809524	0.2519762845849803	0.5590030762912501
27	329	C0H4V6	O97247	0.9517114877700804	14-3-3 protein I	CCT-beta	[10, 20]	[2, 18]	0	0	0	0	0	0	0	0	0	0	0.19047619047619052	0.27964426877470355	0.7698333500627295
28	425	C0H4V6	O97285	0.5376930743455887	14-3-3 protein I	ATP-dependent RNA helicase DDX6	[10, 20]	[0, 2, 18, 24]	0	0	0	0	0	0	0	0	0	0	0.8571428571428572	0.5128458498023715	0.9855986657849696
29	30	C0H4V6	P61074	0.7440528869628906	14-3-3 protein I	Proliferating cell nuclear antigen 1	[10, 20]	[9, 20, 21]	0	0	0	0	0	0	0	0	0	0	0.8095238095238096	0.4762845849802372	0.9621398922329314
30	495	C0H4V6	Q76NN6	0.5402900248765945	14-3-3 protein I	Ran-specific GTPase-activating protein 1, putative	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	1	1	-0.19047619047619052	0.2707509881422925	0.9815053249578639
31	12	C0H4V6	Q7KQL9	0.6281091019511222	14-3-3 protein I	Fructose-bisphosphate aldolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	0.14285714285714288	0.7193675889328064	0.9457588411277568
32	35	C0H4V6	Q8I0V4	0.7704584468156099	14-3-3 protein I	Endoplasmin, putative	[10, 20]	[10]	1	0	0	1	1	1	1	1	1	1	0.7380952380952381	0.47430830039525695	0.9836983180224805
33	199	C0H4V6	Q8I2H3	0.5296934336423874	14-3-3 protein I	V-type proton ATPase subunit E, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	0.3333333333333334	0.5088932806324111	0.9902794401423096
34	187	C0H4V6	Q8I608	0.7674408823251724	14-3-3 protein I	Nucleosome assembly protein	[10, 20]	[3, 14, 20, 21]	1	0	0	0	0	0	0	0	0	0	-0.5714285714285715	0.09683794466403163	0.9506213629184749
35	110	C0H4V6	Q8IB24	0.5789141654968262	14-3-3 protein I	Heat shock 70 kDa protein	[10, 20]	[0, 10, 14, 24]	0	0	0	1	1	1	1	0	1	1	0.19047619047619052	0.48320158102766797	0.8428370079349289
36	394	C0H4V6	Q8IBV7	0.7297577183693648	14-3-3 protein I	Histone H2B	[10, 20]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	0.2380952380952381	0.6343873517786561	0.8866672137131771
37	207	C0H4V6	Q8IC05	0.7994705259799957	14-3-3 protein I	Heat shock protein 90	[10, 20]	[10]	1	1	0	1	0	1	1	1	1	1	0.19047619047619052	0.26383399209486164	0.7693831080460298
38	111	C0H4V6	Q8IE84	0.564981932938099	14-3-3 protein I	V-type proton ATPase subunit G, putative	[10, 20]	[1]	0	0	0	0	0	0	0	0	0	0	0.3571428571428572	0.6037549407114625	0.9897520174340753
39	461	C0H4V6	Q8IFP3	0.9801848649978636	14-3-3 protein I	Tubulin alpha chain	[10, 20]	[2, 18]	0	0	0	0	0	0	0	1	1	0	0.4285714285714286	0.6274703557312253	0.8682236847923335
40	100	C0H4V6	Q8II24	0.6270820915699005	14-3-3 protein I	Heat shock protein 70	[10, 20]	[4, 10, 16]	0	0	0	1	1	0	0	0	0	1	0.261904761904762	0.41106719367588934	0.6962864802734928
41	310	C0H4V6	Q8II61	0.6745435714721679	14-3-3 protein I	60S acidic ribosomal protein P0	[10, 20]	[3, 20, 21]	0	0	0	0	0	0	0	0	0	0	-0.3333333333333334	0.38932806324110675	0.8936306657819584
42	53	C0H4V6	Q8IJN7	0.8181600928306579	14-3-3 protein I	Enolase	[10, 20]	[8]	0	0	0	0	0	0	0	0	0	0	0.261904761904762	0.38932806324110675	0.7542690018460392
43	248	C0H4V6	Q8IKF0	0.5136159935966134	14-3-3 protein I	RNA helicase	[10, 20]	[0, 2, 10, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.04761904761904763	0.2549407114624506	0.8568027769788825
44	547	C0H4V6	Q8ILB6	0.526628191024065	14-3-3 protein I	Mitochondrial acidic protein MAM33, putative	[10, 20]	[3, 9, 20, 21]	0	1	0	0	0	0	0	0	0	0	0.6666666666666669	0.44762845849802374	0.7667314606986966
45	138	C0H4V6	Q8IM55	0.5232290174812079	14-3-3 protein I	Serine/threonine protein phosphatase CPPED1, putative	[10, 20]	[3, 20]	0	0	0	0	0	0	0	0	0	0	0.4285714285714286	0.2816205533596838	0.8365848481898059
46	156	C0H4Y6	Q76NN6	0.5336467124521732	Protein disulfide-isomerase	Ran-specific GTPase-activating protein 1, putative	[22]	[3, 20, 21]	0	0	0	1	1	1	1	1	1	1	-0.14285714285714288	0.541501976284585	0.9808251410084385
47	60	C0H4Y6	Q8I2V9	0.8764208555221558	Protein disulfide-isomerase	Protein disulfide isomerase	[22]	[22]	1	0	0	1	0	0	0	0	0	0	0.4047619047619048	0.5069169960474309	0.8981066317171214
48	132	C0H571	O77310	0.9985048413276671	High molecular weight rhoptry protein 2	Cytoadherence linked asexual protein 3.1	[7]	[7]	1	1	1	1	0	0	0	0	0	0	0.9523809523809524	0.9387351778656127	0.7397583825530323
49	144	C0H571	Q8I395	0.7863685712218285	High molecular weight rhoptry protein 2	High molecular weight rhoptry protein 3	[7]	[7]	1	1	1	1	1	1	0	0	0	0	0.9523809523809524	0.9802371541501977	0.9937329341241938
50	413	C0H571	Q8IAV1	0.5968037880957127	High molecular weight rhoptry protein 2	Uncharacterized protein	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.6428571428571429	0.8053359683794467	0.9280605105519746
51	153	C0H571	Q8IBN4	0.8555385708808899	High molecular weight rhoptry protein 2	Secreted ookinete protein, putative	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.0	0.383399209486166	0.2411219859362143
52	249	C0H571	Q8IEU2	0.9273954510688782	High molecular weight rhoptry protein 2	Gamete antigen 27/25	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.7142857142857144	0.7272727272727272	0.8436815461741436
53	24	C0H571	Q8IKC8	0.7945791855454445	High molecular weight rhoptry protein 2	Exported protein 2	[7]	[7]	0	0	0	0	0	0	0	0	0	0	-0.4761904761904762	-0.3181818181818182	0.04933042332637537
54	236	C0H571	Q8ILZ1	0.565418416261673	High molecular weight rhoptry protein 2	Rhoptry-associated protein 1	[7]	[7]	1	0	0	0	0	0	0	0	0	0	0.8095238095238096	0.9308300395256918	0.963537592431805
55	92	C0H5H0	O97227	0.9116176843643188	Endoplasmic reticulum chaperone GRP170	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	[6, 16]	[6, 9, 16, 28]	0	0	0	0	0	0	0	0	0	0	-0.19047619047619052	0.5573122529644269	0.8175287226753591
56	17	C0H5H0	Q8I0U7	0.6139167175628245	Endoplasmic reticulum chaperone GRP170	Proteasome subunit beta type-6, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.4761904761904762	0.7341897233201582	0.968969692328607
57	431	C0H5H0	Q8IBI3	0.722867465019226	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.4285714285714286	0.6946640316205535	0.9259569446445015
58	369	C0H5H0	Q8IC01	0.6074600905179978	Endoplasmic reticulum chaperone GRP170	Heat shock protein 110	[6, 16]	[1, 6, 16, 28]	1	0	0	0	0	0	0	0	0	0	-0.07142857142857144	0.532608695652174	0.5648601124092272
59	337	C0H5H0	Q8II36	0.5525138005614281	Endoplasmic reticulum chaperone GRP170	Aquaglyceroporin	[6, 16]	[6, 16, 28]	0	0	0	0	0	0	0	0	0	0	-0.1666666666666667	0.4011857707509882	0.9470501919242046
60	196	C0H5H0	Q8IJN9	0.9519560933113098	Endoplasmic reticulum chaperone GRP170	Heat shock protein 60	[6, 16]	[1, 6, 16]	1	0	0	1	1	1	1	1	1	1	-0.19047619047619052	0.44169960474308306	0.44670305893368867
61	277	C0H5H0	Q8IK90	0.5740393459796905	Endoplasmic reticulum chaperone GRP170	Proteasome subunit alpha type-1, putative	[6, 16]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.523809523809524	0.7855731225296443	0.9376188000602457
62	180	C6KST3	C6KT34	0.9973775625228882	Proteasome subunit alpha type-2, putative	Cell division cycle protein 48 homologue, putative	[1, 6]	[1, 6]	0	1	1	1	1	1	1	1	1	1	1.0	0.8784584980237155	0.9903541941834377
63	287	C6KST3	O77396	0.8858442187309266	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type-3, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9268774703557312	0.9827238369577411
64	6	C6KST3	Q6ZMA8	0.844795435667038	Proteasome subunit alpha type-2, putative	Vacuolar proton pump subunit B	[1, 6]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.5476190476190477	0.7114624505928854	0.9445488202984483
65	367	C6KST3	Q76NM6	0.5314948618412018	Proteasome subunit alpha type-2, putative	V-type proton ATPase catalytic subunit A	[1, 6]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.8333333333333335	0.7845849802371542	0.9819805417111191
66	247	C6KST3	Q7K6A9	0.5085937272757292	Proteasome subunit alpha type-2, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.8695652173913043	0.9843765301112499
67	97	C6KST3	Q8I0U7	0.7077856384217739	Proteasome subunit alpha type-2, putative	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	0.9523809523809524	0.8567193675889329	0.9770751073492219
68	345	C6KST3	Q8I261	0.6876430720090866	Proteasome subunit alpha type-2, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	1.0	0.9515810276679842	0.9882940661752935
69	158	C6KST3	Q8I2X4	0.621143388748169	Proteasome subunit alpha type-2, putative	Heat shock protein 70	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	0.9047619047619048	0.8764822134387351	0.9552592622169449
70	484	C6KST3	Q8IAR3	0.973967719078064	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.9555335968379446	0.9956117360809613
71	513	C6KST3	Q8IBI3	0.98386549949646	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.8903162055335968	0.9885318227159032
72	449	C6KST3	Q8IC01	0.641743937600404	Proteasome subunit alpha type-2, putative	Heat shock protein 110	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	0.4047619047619048	0.7648221343873517	0.8003242226452199
73	321	C6KST3	Q8IDG2	0.6260966807603836	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	1.0	0.9565217391304348	0.9969980591931488
74	420	C6KST3	Q8IDG3	0.5932047791779042	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9594861660079053	0.9969945499774437
75	108	C6KST3	Q8II43	0.626926600933075	Proteasome subunit alpha type-2, putative	T-complex protein 1 subunit alpha	[1, 6]	[1, 6]	0	0	0	0	0	0	0	0	0	0	0.3571428571428572	0.7104743083003953	0.7717438097554824
76	276	C6KST3	Q8IJN9	0.7989374905824661	Proteasome subunit alpha type-2, putative	Heat shock protein 60	[1, 6]	[1, 6, 16]	0	0	0	0	0	0	0	0	0	0	0.6904761904761906	0.7885375494071146	0.7105913331660381
77	460	C6KST3	Q8IJT1	0.6124924354255199	Proteasome subunit alpha type-2, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.9723320158102767	0.9912674621405858
78	353	C6KST3	Q8IK90	0.8556625485420227	Proteasome subunit alpha type-2, putative	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	0.9761904761904763	0.983201581027668	0.9980149030984702
79	41	C6KSV0	C6KT18	0.990760338306427	Histone H3	Histone H2A	[0, 14, 27, 30]	[0, 14, 27, 30]	1	0	1	1	1	1	1	1	1	1	0.9761904761904763	0.983201581027668	0.9973515454548844
80	40	C6KSV0	K7NTP5	0.6639498591423034	Histone H3	Heat shock 70 kDa protein	[0, 14, 27, 30]	[0, 2, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.7380952380952381	-0.2618577075098814	0.22783546765420684
81	134	C6KSV0	Q7KQL5	0.5685515627264977	Histone H3	Tubulin beta chain	[0, 14, 27, 30]	[2, 18]	0	0	0	1	0	1	1	1	1	1	0.8571428571428572	0.8468379446640316	0.9548673294427124
82	548	C6KSV0	Q8I0V2	0.6614312350749969	Histone H3	ATP synthase subunit beta	[0, 14, 27, 30]	[0, 2, 14, 18, 24]	0	1	1	1	1	1	1	1	1	1	0.6904761904761906	0.6946640316205535	0.8347003111189335
83	472	C6KSV0	Q8I5H4	0.8301278352737427	Histone H3	Polyadenylate-binding protein	[0, 14, 27, 30]	[0, 14, 18, 24, 27, 30]	0	0	0	0	0	0	0	0	0	0	-0.7142857142857144	-0.043478260869565216	0.7430878109846342
84	481	C6KSV0	Q8I608	0.5871988788247109	Histone H3	Nucleosome assembly protein	[0, 14, 27, 30]	[3, 14, 20, 21]	0	1	1	1	1	1	1	1	1	0	-0.19047619047619052	0.03260869565217391	0.7814302677966298
85	313	C6KSV0	Q8IAX8	0.8626718044281005	Histone H3	DNA/RNA-binding protein ALBA1	[0, 14, 27, 30]	[14, 27, 30]	1	0	0	0	0	0	0	0	0	0	-0.8333333333333335	-0.23616600790513834	0.726607252810342
86	400	C6KSV0	Q8IB24	0.6675848145037889	Histone H3	Heat shock 70 kDa protein	[0, 14, 27, 30]	[0, 10, 14, 24]	0	0	0	0	0	0	0	0	0	0	-0.4761904761904762	0.18280632411067196	0.591864169442659
87	122	C6KSV0	Q8IBV7	0.6422656491398812	Histone H3	Histone H2B	[0, 14, 27, 30]	[0, 14, 27, 30]	1	1	1	1	1	1	1	1	1	1	0.7380952380952381	0.9061264822134387	0.9851043262548851
88	505	C6KSV0	Q8IC05	0.9840363025665284	Histone H3	Heat shock protein 90	[0, 14, 27, 30]	[10]	0	0	0	0	0	0	0	0	0	0	-0.3571428571428572	-0.06324110671936758	0.48664855628556736
89	295	C6KSV0	Q8IET7	0.7373006075620652	Histone H3	40S ribosomal protein S7	[0, 14, 27, 30]	[0, 2, 18]	0	0	0	0	0	0	0	0	0	0	-0.7380952380952381	-0.17094861660079053	0.6199705478777401
90	183	C6KSV0	Q8IFP3	0.5781578984344378	Histone H3	Tubulin alpha chain	[0, 14, 27, 30]	[2, 18]	0	0	0	0	0	0	0	0	0	0	0.5714285714285715	0.7411067193675891	0.8624048938920403
91	98	C6KSV0	Q8IIV1	0.6828259050846099	Histone H3	Histone H2B	[0, 14, 27, 30]	[0, 14, 27, 30]	1	0	1	1	1	1	1	0	1	1	0.9047619047619048	0.9120553359683794	0.9578677865194715
92	553	C6KSV0	Q8IIV2	0.719885277748108	Histone H3	Histone H4	[0, 14, 27, 30]	[0, 14, 27, 30]	1	1	1	1	1	1	1	0	1	1	0.6904761904761906	0.8577075098814229	0.9601635264315264
93	88	C6KSV0	Q8IJ34	0.5833195298910141	Histone H3	ADP/ATP translocase	[0, 14, 27, 30]	[13]	0	0	0	0	0	0	0	0	0	0	-0.6190476190476191	-0.20948616600790515	0.548363369536173
94	516	C6KSV0	Q8IJX3	0.8390521883964539	Histone H3	Single-strand telomeric DNA-binding protein GBP2, putative	[0, 14, 27, 30]	[14, 27, 30]	1	0	0	0	0	0	0	0	0	0	-0.880952380952381	-0.2519762845849803	0.5953193876774749
95	116	C6KSV0	Q8ILG8	0.5521578341722488	Histone H3	Endoplasmic reticulum transmembrane protein	[0, 14, 27, 30]	[27]	0	0	0	0	0	0	0	0	0	0	0.6904761904761906	0.6758893280632412	0.9247711828265353
96	462	C6KSV0	Q8IM01	0.6283768195658922	Histone H3	COPI associated protein	[0, 14, 27, 30]	[30]	0	0	0	0	0	0	0	0	0	0	0.9047619047619048	0.8379446640316206	0.8408308122072665
97	315	C6KSX4	Q8IFP3	0.997419536113739	Dolichol phosphate-mannose biosynthesis regulatory protein	Tubulin alpha chain	[2]	[2, 18]	0	0	0	0	0	0	0	0	0	0	0.261904761904762	0.1956521739130435	0.8407884688737797
98	147	C6KT18	K7NTP5	0.5591669142246246	Histone H2A	Heat shock 70 kDa protein	[0, 14, 27, 30]	[0, 2, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.6904761904761906	-0.27865612648221344	0.20787412489568485
99	243	C6KT18	Q7KQL5	0.6111686676740646	Histone H2A	Tubulin beta chain	[0, 14, 27, 30]	[2, 18]	0	0	0	0	0	0	0	0	0	1	0.7857142857142858	0.8646245059288538	0.951891774439208
100	70	C6KT18	Q8I0V2	0.9060609817504884	Histone H2A	ATP synthase subunit beta	[0, 14, 27, 30]	[0, 2, 14, 18, 24]	0	0	1	1	1	1	1	1	1	1	0.5952380952380953	0.7351778656126482	0.8272122749772459
101	10	C6KT18	Q8I5H4	0.6534894801676273	Histone H2A	Polyadenylate-binding protein	[0, 14, 27, 30]	[0, 14, 18, 24, 27, 30]	0	0	0	0	0	0	0	0	0	0	-0.6904761904761906	-0.0691699604743083	0.7237430257680233
102	19	C6KT18	Q8I608	0.7877830614335835	Histone H2A	Nucleosome assembly protein	[0, 14, 27, 30]	[3, 14, 20, 21]	0	0	1	1	1	1	1	1	1	1	-0.14285714285714288	0.021739130434782608	0.764839988620279
103	478	C6KT18	Q8IB24	0.6553582489490509	Histone H2A	Heat shock 70 kDa protein	[0, 14, 27, 30]	[0, 10, 14, 24]	0	0	0	0	0	0	0	0	0	0	-0.523809523809524	0.2005928853754941	0.5812533280567047
104	226	C6KT18	Q8IBV7	0.9926780223846436	Histone H2A	Histone H2B	[0, 14, 27, 30]	[0, 14, 27, 30]	1	0	1	1	1	1	1	1	1	1	0.7619047619047621	0.9219367588932808	0.98355047870966
105	372	C6KT18	Q8IET7	0.6431944459676743	Histone H2A	40S ribosomal protein S7	[0, 14, 27, 30]	[0, 2, 18]	0	0	0	0	0	0	0	0	0	0	-0.7857142857142858	-0.12055335968379448	0.6013872570879939
106	202	C6KT18	Q8IIV1	0.6779407680034637	Histone H2A	Histone H2B	[0, 14, 27, 30]	[0, 14, 27, 30]	1	0	1	1	1	1	1	0	1	1	0.9285714285714287	0.9545454545454547	0.9748817149931873
107	74	C6KT18	Q8IIV2	0.7117183183319866	Histone H2A	Histone H4	[0, 14, 27, 30]	[0, 14, 27, 30]	1	0	1	1	1	1	1	0	1	1	0.7380952380952381	0.8478260869565217	0.9722677058742655
108	390	C6KT34	O77396	0.6842965185642242	Cell division cycle protein 48 homologue, putative	Proteasome subunit alpha type-3, putative	[1, 6]	[1, 6]	0	0	0	1	1	1	1	1	1	1	0.9761904761904763	0.9664031620553359	0.9845619188625165
109	336	C6KT34	Q7K6A9	0.7588646173477173	Cell division cycle protein 48 homologue, putative	Proteasome subunit beta	[1, 6]	[1, 6]	0	0	0	0	1	1	1	1	1	1	0.9761904761904763	0.991106719367589	0.9942256583013445
110	190	C6KT34	Q8I0U7	0.9878728032112122	Cell division cycle protein 48 homologue, putative	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	0	0	0	0	1	1	1	1	0	1	0.9523809523809524	0.9397233201581027	0.9818288509569049
111	39	C6KT34	Q8IBI3	0.7477305829524994	Cell division cycle protein 48 homologue, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	0	0	0	0	1	1	1	1	1	1	0.9761904761904763	0.9654150197628459	0.997848048276706
112	435	C6KT34	Q8IDG2	0.9868422985076905	Cell division cycle protein 48 homologue, putative	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	0	0	0	0	1	1	1	1	1	1	1.0	0.9624505928853755	0.9974809255530593
113	520	C6KT34	Q8IDG3	0.5098424319177866	Cell division cycle protein 48 homologue, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	0	0	0	1	1	1	1	1	1	1	0.9761904761904763	0.9090909090909092	0.9903745270312219
114	198	C6KT34	Q8II43	0.5836414992809296	Cell division cycle protein 48 homologue, putative	T-complex protein 1 subunit alpha	[1, 6]	[1, 6]	1	0	0	0	0	0	0	0	0	0	0.3571428571428572	0.5019762845849802	0.7749659701830938
115	545	C6KT34	Q8IJT1	0.9182290196418762	Cell division cycle protein 48 homologue, putative	Proteasome subunit beta	[1, 6]	[1, 6]	0	0	0	0	1	1	1	1	1	1	0.9761904761904763	0.8992094861660079	0.9835221557955632
116	458	C6KT34	Q8IK90	0.9006780028343201	Cell division cycle protein 48 homologue, putative	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	0	0	0	0	1	1	1	1	1	0	0.9761904761904763	0.8982213438735178	0.9939020729419298
